YEAR,MO,DY,HR,IRRADIATION
2020,2,6,21,0.0
2020,2,6,22,0.0
2020,2,6,23,0.0
2020,2,7,0,0.0
2020,2,7,1,0.0
2020,2,7,2,0.0
2020,2,7,3,0.0
2020,2,7,4,0.0
2020,2,7,5,0.0
2020,2,7,6,0.0
2020,2,7,7,0.0
2020,2,7,8,40.6
2020,2,7,9,102.52
2020,2,7,10,182.23
2020,2,7,11,208.66
2020,2,7,12,248.23
2020,2,7,13,206.22
2020,2,7,14,176.95
2020,2,7,15,128.67
2020,2,7,16,51.38
2020,2,7,17,9.46
2020,2,7,18,0.0
2020,2,7,19,0.0
2020,2,7,20,0.0
2020,2,7,21,0.0
2020,2,7,22,0.0
2020,2,7,23,0.0
2020,2,8,0,0.0
2020,2,8,1,0.0
2020,2,8,2,0.0
2020,2,8,3,0.0
2020,2,8,4,0.0
2020,2,8,5,0.0
2020,2,8,6,0.0
2020,2,8,7,0.0
2020,2,8,8,75.98
2020,2,8,9,190.35
2020,2,8,10,261.53
2020,2,8,11,324.32
2020,2,8,12,374.84
2020,2,8,13,359.09
2020,2,8,14,291.43
2020,2,8,15,199.35
2020,2,8,16,92.67
2020,2,8,17,11.27
2020,2,8,18,0.0
2020,2,8,19,0.0
2020,2,8,20,0.0
2020,2,8,21,0.0
2020,2,8,22,0.0
2020,2,8,23,0.0
2020,2,9,0,0.0
2020,2,9,1,0.0
2020,2,9,2,0.0
2020,2,9,3,0.0
2020,2,9,4,0.0
2020,2,9,5,0.0
2020,2,9,6,0.0
2020,2,9,7,7.62
2020,2,9,8,74.05
2020,2,9,9,258.35
2020,2,9,10,409.27
2020,2,9,11,461.16
2020,2,9,12,528.26
2020,2,9,13,494.74
2020,2,9,14,428.55
2020,2,9,15,296.16
2020,2,9,16,142.17
2020,2,9,17,14.92
2020,2,9,18,0.0
2020,2,9,19,0.0
2020,2,9,20,0.0
2020,2,9,21,0.0
2020,2,9,22,0.0
2020,2,9,23,0.0
2020,2,10,0,0.0
2020,2,10,1,0.0
2020,2,10,2,0.0
2020,2,10,3,0.0
2020,2,10,4,0.0
2020,2,10,5,0.0
2020,2,10,6,0.0
2020,2,10,7,6.87
2020,2,10,8,75.44
2020,2,10,9,198.04
2020,2,10,10,294.86
2020,2,10,11,348.48
2020,2,10,12,313.87
2020,2,10,13,268.28
2020,2,10,14,229.78
2020,2,10,15,153.37
2020,2,10,16,59.54
2020,2,10,17,12.34
2020,2,10,18,0.0
2020,2,10,19,0.0
2020,2,10,20,0.0
2020,2,10,21,0.0
2020,2,10,22,0.0
2020,2,10,23,0.0
2020,2,11,0,0.0
2020,2,11,1,0.0
2020,2,11,2,0.0
2020,2,11,3,0.0
2020,2,11,4,0.0
2020,2,11,5,0.0
2020,2,11,6,0.0
2020,2,11,7,8.47
2020,2,11,8,82.06
2020,2,11,9,172.37
2020,2,11,10,240.5
2020,2,11,11,275.95
2020,2,11,12,216.42
2020,2,11,13,159.61
2020,2,11,14,72.27
2020,2,11,15,73.23
2020,2,11,16,60.62
2020,2,11,17,15.31
2020,2,11,18,0.0
2020,2,11,19,0.0
2020,2,11,20,0.0
2020,2,11,21,0.0
2020,2,11,22,0.0
2020,2,11,23,0.0
2020,2,12,0,0.0
2020,2,12,1,0.0
2020,2,12,2,0.0
2020,2,12,3,0.0
2020,2,12,4,0.0
2020,2,12,5,0.0
2020,2,12,6,0.0
2020,2,12,7,9.09
2020,2,12,8,104.53
2020,2,12,9,193.08
2020,2,12,10,279.67
2020,2,12,11,356.77
2020,2,12,12,435.24
2020,2,12,13,421.61
2020,2,12,14,361.43
2020,2,12,15,259.48
2020,2,12,16,123.86
2020,2,12,17,21.35
2020,2,12,18,0.0
2020,2,12,19,0.0
2020,2,12,20,0.0
2020,2,12,21,0.0
2020,2,12,22,0.0
2020,2,12,23,0.0
2020,2,13,0,0.0
2020,2,13,1,0.0
2020,2,13,2,0.0
2020,2,13,3,0.0
2020,2,13,4,0.0
2020,2,13,5,0.0
2020,2,13,6,0.0
2020,2,13,7,7.14
2020,2,13,8,87.55
2020,2,13,9,216.15
2020,2,13,10,321.3
2020,2,13,11,414.99
2020,2,13,12,479.43
2020,2,13,13,464.71
2020,2,13,14,398.83
2020,2,13,15,290.16
2020,2,13,16,145.04
2020,2,13,17,25.19
2020,2,13,18,0.0
2020,2,13,19,0.0
2020,2,13,20,0.0
2020,2,13,21,0.0
2020,2,13,22,0.0
2020,2,13,23,0.0
2020,2,14,0,0.0
2020,2,14,1,0.0
2020,2,14,2,0.0
2020,2,14,3,0.0
2020,2,14,4,0.0
2020,2,14,5,0.0
2020,2,14,6,0.0
2020,2,14,7,9.14
2020,2,14,8,51.42
2020,2,14,9,129.42
2020,2,14,10,190.98
2020,2,14,11,217.16
